/Users/jettmarkmanalo/Desktop/M-S2C-Framework/.venv/bin/python /Users/jettmarkmanalo/Desktop/M-S2C-Framework/src/generators/layering_mutator.py 
🔍 Found 20 layering components. Generating 50 batches...

--- Processing Batch 01 ---
  ✅ StaticModal               | POSITION_BREAK       | absolute -> static
  ✅ PermanentNotification     | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | absolute -> static
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> relative
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> absolute
  ✅ TooltipDisplay            | Z_INDEX_LOWER        | z-20 -> z-[-10]
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> static
  ✅ VideoPlayerUI             | POSITION_BREAK       | relative -> absolute
  ✅ CookieNoticeBox           | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> absolute
  ✅ FloatingActionDisplay     | Z_INDEX_EXTREME      | z-50 -> z-[100]
  ✅ ContextList               | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ StepProgressStack         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ LockedContentOverlay      | RANDOM_LAYER_SWAP    | z-0 -> z-[5]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> static
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | absolute -> relative
  ✅ CardBadgeStack            | Z_INDEX_EXTREME      | z-10 -> z-[999]
  ✅ HeroSectionLayer          | POSITION_BREAK       | relative -> static
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ SidebarNavigation         | Z_INDEX_EXTREME      | z-0 -> z-[100]
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_01.jsx

--- Processing Batch 02 ---
  ✅ StaticModal               | RANDOM_LAYER_SWAP    | z-0 -> z-40
  ✅ PermanentNotification     | Z_INDEX_LOWER        | z-20 -> z-[-1]
  ✅ ImageBadgeOverlay         | RANDOM_LAYER_SWAP    | z-10 -> z-0
  ✅ MultiLevelMenu            | POSITION_BREAK       | absolute -> static
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> static
  ✅ TooltipDisplay            | RANDOM_LAYER_SWAP    | z-20 -> z-0
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> absolute
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> static
  ✅ CookieNoticeBox           | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ PricingCardHighlight      | Z_INDEX_EXTREME      | z-0 -> z-[999]
  ✅ FloatingActionDisplay     | POSITION_BREAK       | absolute -> static
  ✅ ContextList               | POSITION_BREAK       | absolute -> relative
  ✅ StepProgressStack         | Z_INDEX_LOWER        | z-0 -> z-[-10]
  ✅ LockedContentOverlay      | POSITION_BREAK       | absolute -> static
  ✅ ChatPreviewWindow         | POSITION_BREAK       | absolute -> relative
  ✅ SearchAutocompleteBox     | POSITION_BREAK       | relative -> static
  ✅ CardBadgeStack            | Z_INDEX_LOWER        | z-20 -> z-[-10]
  ✅ HeroSectionLayer          | RANDOM_LAYER_SWAP    | z-0 -> z-20
  ✅ BreadcrumbOverlay         | POSITION_BREAK       | absolute -> static
  ✅ SidebarNavigation         | POSITION_BREAK       | absolute -> static
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_02.jsx

--- Processing Batch 03 ---
  ✅ StaticModal               | Z_INDEX_LOWER        | z-10 -> z-[-1]
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> static
  ✅ ImageBadgeOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
