/Users/jettmarkmanalo/Desktop/M-S2C-Framework/.venv/bin/python /Users/jettmarkmanalo/Desktop/M-S2C-Framework/src/generators/layering_mutator.py 
🔍 Found 20 layering components. Generating 50 batches...

--- Processing Batch 01 ---
  ✅ CenterDialogOverlay       | POSITION_BREAK       | relative -> absolute
  ✅ PermanentNotification     | Z_INDEX_EXTREME      | z-30 -> z-[100]
  ✅ ImageBadgeOverlay         | POSITION_BREAK       | absolute -> relative
  ✅ MultiLevelMenu            | POSITION_BREAK       | relative -> static
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> absolute
  ✅ TooltipDisplay            | POSITION_BREAK       | absolute -> static
  ✅ AvatarOverlap             | RANDOM_LAYER_SWAP    | z-30 -> z-[100]
  ✅ VideoPlayerUI             | POSITION_BREAK       | absolute -> relative
  ✅ FloatingLegalBanner       | Z_INDEX_EXTREME      | z-50 -> z-[999]
  ✅ PricingCardHighlight      | POSITION_BREAK       | relative -> static
  ✅ FloatingActionDisplay     | POSITION_BREAK       | absolute -> static
  ✅ ContextList               | Z_INDEX_EXTREME      | z-0 -> z-[999]
  ✅ StepProgressStack         | POSITION_BREAK       | absolute -> static
  ✅ LockedContentOverlay      | RANDOM_LAYER_SWAP    | z-0 -> z-[100]
  ✅ ChatPreviewWindow         | POSITION_BREAK       | relative -> absolute
  ✅ SearchAutocompleteBox     | Z_INDEX_EXTREME      | z-50 -> z-[100]
  ✅ CardBadgeStack            | RANDOM_LAYER_SWAP    | z-10 -> z-[100]
  ✅ HeroSectionLayer          | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ BreadcrumbOverlay         | Z_INDEX_EXTREME      | z-0 -> z-[100]
  ✅ OverlaySidebar            | POSITION_BREAK       | absolute -> static
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/layering/Layering_Batch_01.jsx

--- Processing Batch 02 ---
  ✅ CenterDialogOverlay       | POSITION_BREAK       | absolute -> static
  ✅ PermanentNotification     | POSITION_BREAK       | absolute -> relative
  ✅ ImageBadgeOverlay         | Z_INDEX_EXTREME      | z-10 -> z-[100]
  ✅ MultiLevelMenu            | POSITION_BREAK       | relative -> static
  ✅ StickyHeaderMock          | POSITION_BREAK       | relative -> absolute
  ✅ TooltipDisplay            | POSITION_BREAK       | relative -> absolute
  ✅ AvatarOverlap             | POSITION_BREAK       | relative -> absolute
  ✅ VideoPlayerUI             | Z_INDEX_LOWER        | z-30 -> z-[-1]
  ✅ FloatingLegalBanner       | POSITION_BREAK       | absolute -> relative
