🔹 [ExperienceCard                                    ] CHAOS      | font-medium -> font-semibold
🔹 [SimpleCardWithButton                              ] CHAOS      | text-sm -> text-7xl
🔹 [MusicCard                                         ] CHAOS      | uppercase -> lowercase
🔹 [BasicCookieAlert                                  ] SUBTLE     | text-xl -> text-2xl
🔹 [ProductCard                                       ] CHAOS      | text-base -> text-9xl
🔹 [EmailAndPasswordLoginForm                         ] CHAOS      | font-medium -> font-bold
🔹 [SubscribeCard                                     ] EXTREME    | text-lg -> text-9xl
🔹 [NewsletterSection                                 ] EXTREME    | text-sm -> text-9xl
🔹 [NewsletterSection2                                ] SUBTLE     | text-sm -> text-xs
🔹 [ErrorPageWithActionButtons                        ] CHAOS      | text-8xl -> text-2xl
🔹 [TextOnlyTweetCard                                 ] SUBTLE     | font-bold -> font-extrabold
🔹 [Testimonial                                       ] EXTREME    | text-lg -> text-9xl
🔹 [HotelBookingSearchForm                            ] SUBTLE     | text-sm -> text-xs
🔹 [AboutUsSectionWithGradientBg                      ] CHAOS      | font-semibold -> font-thin
🔹 [PrivacyFirstNotice                                ] SUBTLE     | font-medium -> font-semibold
🔹 [Notification                                      ] CHAOS      | text-sm -> text-6xl
🔹 [ReceiptCard                                       ] EXTREME    | text-lg -> text-9xl
🔹 [CtaSectionGridGradientCallToAction                ] SUBTLE     | text-sm -> text-base
🔹 [SmallCtaBanner                                    ] EXTREME    | text-sm -> text-9xl
🔹 [SpecialFeaturesSection                            ] EXTREME    | text-base -> text-9xl
🔹 [ExperienceCard                                    ] EXTREME    | text-base -> text-9xl
🔹 [SimpleCardWithButton                              ] EXTREME    | text-sm -> text-9xl
🔹 [MusicCard                                         ] CHAOS      | uppercase -> lowercase
🔹 [BasicCookieAlert                                  ] EXTREME    | text-sm -> text-9xl
🔹 [ProductCard                                       ] SUBTLE     | text-base -> text-lg
🔹 [EmailAndPasswordLoginForm                         ] CHAOS      | text-base -> text-xs
🔹 [SubscribeCard                                     ] CHAOS      | text-sm -> text-3xl
🔹 [NewsletterSection                                 ] SUBTLE     | text-base -> text-sm
🔹 [NewsletterSection2                                ] EXTREME    | text-sm -> text-9xl
🔹 [ErrorPageWithActionButtons                        ] SUBTLE     | text-sm -> text-xs
🔹 [TextOnlyTweetCard                                 ] EXTREME    | font-bold -> font-thin
