/Users/jettmarkmanalo/Desktop/M-S2C-Framework/.venv/bin/python /Users/jettmarkmanalo/Desktop/M-S2C-Framework/src/generators/visibility_mutator.py
🔍 Found 20 visibility components. Generating 50 batches...

--- Processing Batch 01 ---
  ✅ ExpandableAccordion  | SUDDEN_HIDDEN        | flex -> hidden
  ✅ AuthenticatedUserBadge | SUDDEN_HIDDEN        | flex -> hidden
  ✅ PasswordStrengthMeter | LAYOUT_BREAK         | flex -> contents
  ✅ DesktopSidebarOverlay | SUDDEN_HIDDEN        | flex -> hidden
  ✅ LanguageSwitcher     | LAYOUT_BREAK         | flex -> contents
  ✅ StatusIndicatorPanel | SUDDEN_HIDDEN        | flex -> hidden
  ✅ FeatureComparisonCard | SUDDEN_HIDDEN        | grid -> hidden
  ✅ NotificationBanner   | LAYOUT_BREAK         | hidden -> flex
  ✅ PriceComparisonTable | SUDDEN_HIDDEN        | flex -> hidden
  ✅ StatusTimeline       | SUDDEN_HIDDEN        | flex -> hidden
  ✅ FileUploaderDropzone | SUDDEN_HIDDEN        | flex -> hidden
  ✅ ModernTabGroup       | SUDDEN_HIDDEN        | flex -> hidden
  ✅ SearchOverlay        | LAYOUT_BREAK         | flex -> inline
  ✅ HelpCenterCategories | SUDDEN_HIDDEN        | flex -> hidden
  ✅ FloatingActionButton | LAYOUT_BREAK         | flex -> contents
  ✅ EmailDraftTag        | SUDDEN_HIDDEN        | flex -> hidden
  ✅ ImageCaptionOverlay  | LAYOUT_BREAK         | flex -> contents
  ✅ InputErrorMessage    | LAYOUT_BREAK         | flex -> inline
  ✅ ActivityFeedItem     | REVEAL_BUG           | hidden -> block
  ✅ StatCardDisplay      | LAYOUT_BREAK         | flex -> contents
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/visibility/Visibility_Batch_01.jsx

--- Processing Batch 02 ---
  ✅ ExpandableAccordion  | REVEAL_BUG           | hidden -> block
  ✅ AuthenticatedUserBadge | REVEAL_BUG           | hidden -> block
  ✅ PasswordStrengthMeter | SUDDEN_HIDDEN        | flex -> hidden
  ✅ DesktopSidebarOverlay | SUDDEN_HIDDEN        | flex -> hidden
  ✅ LanguageSwitcher     | LAYOUT_BREAK         | hidden -> flex
  ✅ StatusIndicatorPanel | REVEAL_BUG           | hidden -> block
  ✅ FeatureComparisonCard | SUDDEN_HIDDEN        | grid -> hidden
  ✅ NotificationBanner   | LAYOUT_BREAK         | hidden -> inline-block
  ✅ PriceComparisonTable | LAYOUT_BREAK         | flex -> inline
  ✅ StatusTimeline       | REVEAL_BUG           | hidden -> block
  ✅ FileUploaderDropzone | REVEAL_BUG           | hidden -> block
  ✅ ModernTabGroup       | SUDDEN_HIDDEN        | grid -> hidden
  ✅ SearchOverlay        | SUDDEN_HIDDEN        | grid -> hidden
  ✅ HelpCenterCategories | SUDDEN_HIDDEN        | grid -> hidden
  ✅ FloatingActionButton | LAYOUT_BREAK         | flex -> contents
  ✅ EmailDraftTag        | LAYOUT_BREAK         | flex -> inline
  ✅ ImageCaptionOverlay  | LAYOUT_BREAK         | flex -> contents
  ✅ InputErrorMessage    | LAYOUT_BREAK         | hidden -> flex
  ✅ ActivityFeedItem     | LAYOUT_BREAK         | flex -> contents
  ✅ StatCardDisplay      | LAYOUT_BREAK         | hidden -> inline-block
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/visibility/Visibility_Batch_02.jsx

--- Processing Batch 03 ---
  ✅ ExpandableAccordion  | LAYOUT_BREAK         | hidden -> inline-block
  ✅ AuthenticatedUserBadge | LAYOUT_BREAK         | flex -> inline
  ✅ PasswordStrengthMeter | LAYOUT_BREAK         | flex -> inline
  ✅ DesktopSidebarOverlay | SUDDEN_HIDDEN        | grid -> hidden
  ✅ LanguageSwitcher     | LAYOUT_BREAK         | flex -> inline
  ✅ StatusIndicatorPanel | LAYOUT_BREAK         | flex -> contents
  ✅ FeatureComparisonCard | SUDDEN_HIDDEN        | flex -> hidden
  ✅ NotificationBanner   | REVEAL_BUG           | hidden -> block
  ✅ PriceComparisonTable | LAYOUT_BREAK         | flex -> contents
  ✅ StatusTimeline       | REVEAL_BUG           | hidden -> block
  ✅ FileUploaderDropzone | SUDDEN_HIDDEN        | flex -> hidden
  ✅ ModernTabGroup       | SUDDEN_HIDDEN        | flex -> hidden
  ✅ SearchOverlay        | LAYOUT_BREAK         | flex -> contents
  ✅ HelpCenterCategories | SUDDEN_HIDDEN        | flex -> hidden
  ✅ FloatingActionButton | SUDDEN_HIDDEN        | flex -> hidden
  ✅ EmailDraftTag        | LAYOUT_BREAK         | flex -> inline
  ✅ ImageCaptionOverlay  | REVEAL_BUG           | hidden -> block
  ✅ InputErrorMessage    | SUDDEN_HIDDEN        | flex -> hidden
  ✅ ActivityFeedItem     | SUDDEN_HIDDEN        | flex -> hidden
  ✅ StatCardDisplay      | SUDDEN_HIDDEN        | flex -> hidden
💾 Saved to: /Users/jettmarkmanalo/Desktop/M-S2C-Framework/data/02_mutated_code/visibility/Visibility_Batch_03.jsx

--- Processing Batch 04 ---
  ✅ ExpandableAccordion  | REVEAL_BUG           | hidden -> block
  ✅ AuthenticatedUserBadge | SUDDEN_HIDDEN        | flex -> hidden
  ✅ PasswordStrengthMeter | SUDDEN_HIDDEN        | flex -> hidden
  ✅ DesktopSidebarOverlay | SUDDEN_HIDDEN        | grid -> hidden
  ✅ LanguageSwitcher     | SUDDEN_HIDDEN        | flex -> hidden
  ✅ StatusIndicatorPanel | SUDDEN_HIDDEN        | inline-block -> hidden
  ✅ FeatureComparisonCard | LAYOUT_BREAK         | flex -> inline
  ✅ NotificationBanner   | SUDDEN_HIDDEN        | flex -> hidden
  ✅ PriceComparisonTable | SUDDEN_HIDDEN        | flex -> hidden
  ✅ StatusTimeline       | SUDDEN_HIDDEN        | flex -> hidden
  ✅ FileUploaderDropzone | LAYOUT_BREAK         | flex -> contents
